Wavelength,Air,Glass,SS,MC,DS,2SS1MC,2MC1SS,2SS1DS,2DS1SS,1SS1MC1DS
660,100.011984,91.840885,89.250148,91.336239,76.885437,54.322251,78.788877,71.860779,70.445049,69.302386
658,100.007589,91.846209,89.284985,91.331962,76.785399,54.377789,78.854074,72.032814,70.951554,69.509874
656,100.007474,91.845731,89.309455,91.329114,76.874185,54.424756,78.928223,72.179087,71.3923,69.681954
654,100.008747,91.842113,89.334491,91.337141,77.158062,54.470362,78.991113,72.308183,71.752881,69.827564
652,100.01396,91.856791,89.350123,91.338023,77.606868,54.511033,79.045842,72.40981,72.050572,69.940653
650,100.010007,91.866693,89.35572,91.334189,78.150072,54.542687,79.08714,72.480496,72.275346,70.02125
648,99.997873,91.856592,89.365058,91.333338,78.742667,54.572054,79.123219,72.528217,72.439833,70.078344
646,100.003507,91.855446,89.37329,91.339125,79.336574,54.59568,79.159002,72.555458,72.56396,70.124173
644,100.003928,91.848127,89.366267,91.342315,79.865269,54.61322,79.18238,72.561685,72.644817,70.147259
642,100.013261,91.850106,89.373121,91.346413,80.331792,54.626909,79.205061,72.558819,72.701504,70.160656
640,100.021625,91.846776,89.37751,91.35057,80.711862,54.63923,79.217094,72.543692,72.734182,70.163257
638,100.019382,91.8342,89.369391,91.356785,81.006958,54.647509,79.221968,72.515519,72.743449,70.148631
636,100.015133,91.84157,89.350652,91.357682,81.217341,54.650373,79.217929,72.486238,72.737884,70.126606
634,100.005604,91.862664,89.334313,91.351569,81.356115,54.647543,79.206166,72.445998,72.71371,70.098013
632,100.012573,91.844298,89.329907,91.358653,81.452959,54.647563,79.192728,72.399144,72.686625,70.074147
630,100.026818,91.860784,89.325134,91.37165,81.509668,54.64882,79.186631,72.358999,72.654737,70.048104
628,100.022577,91.844768,89.300134,91.366699,81.525722,54.63938,79.174935,72.308575,72.599971,70.010856
626,100.012335,91.845909,89.277179,91.366163,81.512355,54.62713,79.158966,72.23796,72.532937,69.965115
624,100.013907,91.843893,89.264011,91.368898,81.48186,54.61655,79.140451,72.170903,72.457995,69.919572
622,100.013687,91.837014,89.244049,91.365045,81.431446,54.605264,79.113153,72.109636,72.371049,69.866725
620,100.016624,91.835598,89.228173,91.361411,81.369755,54.598167,79.096265,72.044636,72.290419,69.817546
618,100.029127,91.846629,89.212942,91.36129,81.297463,54.590593,79.081398,71.977266,72.213331,69.774976
616,100.027218,91.860472,89.191757,91.368265,81.218513,54.581376,79.067751,71.916832,72.139202,69.727923
614,100.023109,91.850974,89.180386,91.382543,81.138441,54.581254,79.056659,71.867007,72.091267,69.685648
